bucket,n,observed_rate_pct,implied_rate_pct,gap_pp,z,p_value,holm_p
"(0.50, 0.60]",4064,54.45374015748031,55.44209887877199,-0.9883587212916753,-1.2694292765234845,0.204287999917246,0.817151999668984
"(0.60, 0.70]",4447,64.11063638407916,64.85174526788555,-0.7411088838063916,-1.0370288714916762,0.29972240198220934,0.899167205946628
"(0.70, 0.75]",1933,73.09881013967926,72.38937509729689,0.7094350423823598,0.6980207642041626,0.4851642086093714,0.9703284172187427
"(0.75, 0.80]",1661,79.10897049969897,77.37761016041446,1.731360339284507,1.6875524724323514,0.09149716920858744,0.4574858460429372
"(0.80, 1.00]",3246,86.32162661737523,86.41157350321458,-0.08994688583934488,-0.1507570893642174,0.8801673370200243,0.9703284172187427
