label,n,observed_rate_pct,implied_rate_pct,gap_pp,z,p_value,breakeven_pp,mde_pp
"None, raw implied probabilities",8014,79.01172947342151,81.51627179329549,-2.504542319873983,-5.8962061920616,3.7195413669319824e-09,0.0,1.1900344921696062
Proportional (primary),6840,80.83333333333333,80.25509358639735,0.5782397469359808,1.219751456958222,0.2225591084469647,3.0126424715917435,1.3281295286017551
"Additive, equal margin",7120,80.35112359550561,80.95520160332545,-0.6040780078198362,-1.3210948655643495,0.18646973484441054,1.8777214764238672,1.2810404925555658
Power,7211,80.1553182637637,81.4635182524206,-1.3081999886568976,-2.914199680302767,0.0035660173280649145,1.235024605674106,1.257646747863188
Shin (1993),7120,80.35112359550561,80.95520160332545,-0.6040780078198362,-1.3210948655643495,0.18646973484441054,1.877721476423867,1.2810404925555658
Constant odds ratio,7202,80.18605942793668,80.92624034293958,-0.7401809150029007,-1.6279818797120482,0.10352872804127118,1.7858722021919633,1.273773336204604
