variance_estimator,gap_pp,se_pp,z,p_value,clusters,ci_low_pp,ci_high_pp
Independent (classical OLS),0.5782397469359944,0.4691355535704125,1.2325643250340577,0.21773835376554063,6840,-0.341265938062014,1.497745431934003
Poisson-binomial (primary test),0.5782397469359948,0.474063583722193,1.2197514569582513,0.2225591084469536,6840,-0.3509248771595035,1.507404371031493
Clustered by season,0.5782397469359944,0.38589719657138544,1.498429509396626,0.13402169425181992,13,-0.178118758343921,1.3345982522159099
Clustered by favorite team,0.5782397469359944,0.5307717090933698,1.0894321174798607,0.2759633746088731,32,-0.46207280288701036,1.6185522967589994
Clustered by underdog team,0.5782397469359944,0.4988448958065906,1.159157388993685,0.24639203676120447,33,-0.3994962488449231,1.555975742716912
Two-way: season and favorite team,0.5782397469359944,0.47507990073846285,1.2171420976496379,0.22355015598686268,13,-0.35291685851139276,1.5093963523833818
